time,state,x,y,h,frame_id,line_pos,eKp,turn_rate,valid_cnt,tripA,tripAh,tripB,tripBh,ir_L,ir_R,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
# remark: robobot/cmd/ti/alive 2025-04-15 15:55:21.913760
# remark: robobot/cmd/ti/log 1
1744725322.49,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,0.00,0.00,0.046,-0.018,0.975,-0.083,0.259,-0.198
1744725322.49,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,0.00,0.00,0.044,-0.013,0.973,-0.175,0.198,0.015
1744725322.49,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.14,0.044,-0.013,0.973,-0.175,0.198,0.015
1744725322.51,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.14,0.046,-0.022,0.972,-0.022,0.290,-0.259
1744725322.51,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.14,0.046,-0.022,0.972,-0.022,0.290,-0.259
1744725322.52,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.14,0.043,-0.022,0.966,-0.205,0.443,0.046
1744725322.52,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.14,0.048,-0.018,0.969,-0.022,0.137,-0.015
1744725322.53,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,0.95,0.048,-0.018,0.969,-0.022,0.137,-0.015
1744725322.53,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,0.95,0.043,-0.014,0.970,-0.114,-0.046,-0.351
1744725322.53,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,0.95,0.043,-0.014,0.970,-0.114,-0.046,-0.351
1744725322.55,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,0.95,0.045,-0.017,0.963,0.069,0.076,-0.351
1744725322.56,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,0.95,0.047,-0.014,0.967,0.008,0.076,-0.229
1744725322.56,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.01,0.047,-0.014,0.967,0.008,0.076,-0.229
1744725322.56,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.01,0.042,-0.021,0.973,-0.327,0.046,-0.107
1744725322.56,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.01,0.042,-0.021,0.973,-0.327,0.046,-0.107
1744725322.57,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.01,0.048,-0.018,0.972,-0.022,0.290,-0.381
1744725322.58,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.01,0.042,-0.016,0.967,-0.053,-0.046,-0.259
1744725322.59,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.18,0.042,-0.016,0.967,-0.053,-0.046,-0.259
1744725322.59,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.18,0.045,-0.019,0.966,-0.053,0.198,-0.076
1744725322.59,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.18,0.045,-0.019,0.966,-0.053,0.198,-0.076
1744725322.61,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.18,0.044,-0.021,0.969,-0.083,0.107,-0.259
1744725322.61,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.18,0.043,-0.017,0.972,-0.022,0.137,0.015
1744725322.62,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.31,0.043,-0.017,0.972,-0.022,0.137,0.015
1744725322.63,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.31,0.045,-0.017,0.968,-0.297,0.320,-0.107
1744725322.63,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.31,0.045,-0.017,0.968,-0.297,0.320,-0.107
1744725322.63,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.31,0.043,-0.020,0.971,-0.297,0.412,-0.229
# remark: robobot/cmd/T0/enc0  
# remark: robobot/cmd/T0/confw 0.074 0.074 19 92 0.23
# remark: robobot/cmd/T0/confi  
1744725322.66,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.31,0.046,-0.020,0.975,0.039,0.168,-0.137
1744725322.66,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.13,0.046,-0.020,0.975,0.039,0.168,-0.137
1744725322.66,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.13,0.042,-0.013,0.964,-0.114,0.168,-0.107
1744725322.66,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.13,0.042,-0.013,0.964,-0.114,0.168,-0.107
1744725322.66,-1,1.260,0.602,-2.283,0,0.000,0.000,0.000,10,0.000,-2.283,0.000,-2.283,1.50,1.13,0.042,-0.020,0.964,-0.022,0.229,-0.015
1744725322.67,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.13,0.046,-0.019,0.969,0.130,0.137,-0.198
1744725322.67,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.046,-0.019,0.969,0.130,0.137,-0.198
1744725322.70,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.045,-0.019,0.982,-0.297,0.229,-0.076
1744725322.70,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.045,-0.019,0.982,-0.297,0.229,-0.076
1744725322.70,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.044,-0.018,0.961,-0.175,0.076,-0.107
1744725322.72,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.046,-0.017,0.962,-0.053,0.076,-0.320
1744725322.72,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.046,-0.017,0.962,-0.053,0.076,-0.320
1744725322.73,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.048,-0.017,0.973,-0.114,0.229,-0.320
1744725322.73,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.048,-0.017,0.973,-0.114,0.229,-0.320
1744725322.73,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.041,-0.016,0.971,-0.053,0.198,-0.168
1744725322.74,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.21,0.042,-0.022,0.959,-0.114,0.443,-0.290
1744725322.74,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.14,0.042,-0.022,0.959,-0.114,0.443,-0.290
1744725322.74,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.14,0.044,-0.022,0.967,-0.144,0.229,-0.259
1744725322.74,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.14,0.044,-0.022,0.967,-0.144,0.229,-0.259
1744725322.76,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.14,0.044,-0.020,0.982,-0.083,0.168,-0.229
1744725322.76,-1,0.000,0.000,0.000,0,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.14,0.046,-0.020,0.966,-0.175,0.168,-0.046
# remark: robobot/cmd/T0/lip 1
# remark: robobot/cmd/T0/sub livn 10
1744725322.79,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.34,0.046,-0.020,0.966,-0.175,0.168,-0.046
1744725322.79,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.34,0.046,-0.017,0.960,-0.144,0.290,-0.290
1744725322.79,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.34,0.046,-0.017,0.960,-0.144,0.290,-0.290
# remark: robobot/cmd/T0/liwi  
1744725322.81,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.34,0.042,-0.017,0.972,0.161,0.168,-0.259
1744725322.81,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.34,0.048,-0.018,0.975,-0.022,0.626,0.076
1744725322.81,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.42,0.048,-0.018,0.975,-0.022,0.626,0.076
# remark: robobot/cmd/T0/liwi  
# remark: robobot/cmd/T0/liwi  
# remark: robobot/cmd/T0/liwi  
# remark: robobot/cmd/T0/liwi  
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.42,0.042,-0.019,0.960,-0.053,0.259,-0.076
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.42,0.042,-0.019,0.960,-0.053,0.259,-0.076
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.42,0.048,-0.023,0.967,-0.083,0.198,-0.046
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.42,0.048,-0.020,0.984,-0.053,0.351,-0.259
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.08,0.048,-0.020,0.984,-0.053,0.351,-0.259
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.08,0.046,-0.020,0.974,-0.053,0.107,-0.229
1744725322.89,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.08,0.046,-0.020,0.974,-0.053,0.107,-0.229
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.08,0.044,-0.019,0.957,0.039,0.229,-0.076
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.12,0.044,-0.018,0.968,-0.266,0.137,-0.137
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.12,0.044,-0.018,0.968,-0.266,0.137,-0.137
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.12,0.042,-0.020,0.979,-0.144,0.076,-0.229
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.12,0.042,-0.020,0.979,-0.144,0.076,-0.229
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.12,0.044,-0.022,0.975,-0.083,0.320,-0.198
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.17,0.044,-0.022,0.960,-0.236,0.168,-0.137
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.17,0.044,-0.022,0.960,-0.236,0.168,-0.137
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.17,0.043,-0.019,0.971,-0.114,0.229,-0.259
1744725322.90,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.17,0.043,-0.019,0.971,-0.114,0.229,-0.259
# remark: robobot/cmd/T0/liwi  
1744725322.91,-1,0.000,0.000,0.000,1,0.000,0.000,0.000,10,0.000,0.000,0.000,0.000,1.50,1.17,0.048,-0.020,0.980,-0.022,0.076,-0.229
