time,state,x,y,h,frame_id,line_pos,eKp,turn_rate,valid_cnt,tripA,tripAh,tripB,tripBh,ir_L,ir_R,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
# remark: robobot/cmd/ti/log 1
# remark: robobot/cmd/ti/alive 2025-04-16 20:10:10.851812
1744827011.61,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000
1744827011.62,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,0.00,0.00,0.042,-0.025,0.969,-0.114,0.168,-0.107
1744827011.62,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.042,-0.025,0.969,-0.114,0.168,-0.107
1744827011.63,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.043,-0.022,0.980,-0.114,0.504,-0.168
1744827011.63,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.019,0.979,0.069,0.076,0.076
1744827011.64,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.019,0.979,0.069,0.076,0.076
1744827011.67,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.043,-0.018,0.962,0.008,0.107,0.107
1744827011.67,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.043,-0.018,0.962,0.008,0.107,0.107
1744827011.67,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.020,0.972,0.039,0.290,-0.442
1744827011.67,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.039,-0.021,0.976,0.008,-0.015,-0.107
1744827011.67,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.039,-0.021,0.976,0.008,-0.015,-0.107
1744827011.68,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.044,-0.021,0.978,-0.175,0.015,-0.107
1744827011.68,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.044,-0.021,0.978,-0.175,0.015,-0.107
1744827011.69,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.042,-0.022,0.974,0.008,0.381,0.076
1744827011.69,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.039,-0.018,0.965,-0.205,0.259,-0.076
1744827011.70,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.039,-0.018,0.965,-0.205,0.259,-0.076
1744827011.71,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.038,-0.021,0.975,-0.205,0.046,-0.198
1744827011.71,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.038,-0.021,0.975,-0.205,0.046,-0.198
1744827011.72,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.040,-0.023,0.977,-0.236,0.443,0.107
1744827011.72,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.015,0.963,-0.053,0.137,0.015
1744827011.74,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.015,0.963,-0.053,0.137,0.015
1744827011.74,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.019,0.968,0.039,0.381,0.046
1744827011.74,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.041,-0.019,0.968,0.039,0.381,0.046
1744827011.77,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.040,-0.020,0.981,-0.511,0.290,-0.107
1744827011.77,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.042,-0.022,0.973,0.313,0.381,0.015
1744827011.78,-1,1.906,1.181,2.121,0,0.000,0.000,0.000,10,0.000,2.121,0.000,2.121,1.50,1.50,0.042,-0.022,0.973,0.313,0.381,0.015
