% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1738155042.0702 0.000 0.000 0.0000 3.1051
1738155042.0714 0.000 0.000 0.0000 3.1051
1738155042.0736 0.000 0.000 0.0000 3.1051
1738155042.0757 0.000 0.000 0.0000 3.1051
1738155042.0779 0.000 0.000 0.0000 3.1051
1738155042.0801 0.000 0.000 0.0000 3.1051
1738155042.0823 0.000 0.000 0.0000 3.1051
1738155042.0844 0.000 0.000 0.0000 3.1051
1738155042.0856 0.000 0.000 0.0000 3.1051
1738155042.0888 0.000 0.000 0.0000 3.1051
1738155042.0909 0.000 0.000 0.0000 3.1051
1738155042.0921 0.000 0.000 0.0000 3.1051
1738155042.0943 0.000 0.000 0.0000 3.1051
1738155042.0965 0.000 0.000 0.0000 3.1051
1738155042.0987 0.000 0.000 0.0000 3.1051
1738155042.1009 0.000 0.000 0.0000 3.1051
1738155042.1030 0.000 0.000 0.0000 3.1051
1738155042.1042 0.000 0.000 0.0000 3.1051
1738155042.1064 0.000 0.000 0.0000 3.1051
1738155042.1086 0.000 0.000 0.0000 3.1051
1738155042.1109 0.000 0.000 0.0000 3.1051
1738155042.1120 0.000 0.000 0.0000 3.1051
1738155042.1147 0.000 0.000 0.0000 3.1051
1738155042.1170 0.000 0.000 0.0000 3.1051
1738155042.1181 0.000 0.000 0.0000 3.1051
1738155042.1204 0.000 0.000 0.0000 3.1051
1738155042.1226 0.000 0.000 0.0000 3.1051
1738155042.1248 0.000 0.000 0.0000 3.1051
1738155042.1270 0.000 0.000 0.0000 3.1051
1738155042.1282 0.000 0.000 0.0000 3.1051
1738155042.1304 0.000 0.000 0.0000 3.1051
1738155042.1326 0.000 0.000 0.0000 3.1051
1738155042.1348 0.000 0.000 0.0000 3.1051
1738155042.1370 0.000 0.000 0.0000 3.1051
1738155042.1381 0.000 0.000 0.0000 3.1051
1738155042.1404 0.000 0.000 0.0000 3.1051
1738155042.1427 0.000 0.000 0.0000 3.1051
1738155042.1448 0.000 0.000 0.0000 3.1051
1738155042.1470 0.000 0.000 0.0000 3.1051
1738155042.1482 0.000 0.000 0.0000 3.1051
1738155042.1504 0.000 0.000 0.0000 3.1051
1738155042.1526 0.000 0.000 0.0000 3.1051
1738155042.1548 0.000 0.000 0.0000 3.1051
1738155042.1571 0.000 0.000 0.0000 3.1051
1738155042.1582 0.000 0.000 0.0000 3.1051
1738155042.1604 0.000 0.000 0.0000 3.1051
1738155042.1627 0.000 0.000 0.0000 3.1051
1738155042.1649 0.000 0.000 0.0000 3.1051
1738155042.1671 0.000 0.000 0.0000 3.1051
1738155042.1682 0.000 0.000 0.0000 3.1051
1738155042.1705 0.000 0.000 0.0000 3.1051
1738155042.1727 0.000 0.000 0.0000 3.1051
1738155042.1748 0.000 0.000 0.0000 3.1051
1738155042.1771 0.000 0.000 0.0000 3.1051
1738155042.1782 0.000 0.000 0.0000 3.1051
1738155042.1805 0.000 0.000 0.0000 3.1051
1738155042.1827 0.000 0.000 0.0000 3.1051
1738155042.1849 0.000 0.000 0.0000 3.1051
1738155042.1871 0.000 0.000 0.0000 3.1051
1738155042.1883 0.000 0.000 0.0000 3.1051
1738155042.1905 0.000 0.000 0.0000 3.1051
1738155042.1927 0.000 0.000 0.0000 3.1051
1738155042.1949 0.000 0.000 0.0000 3.1051
1738155042.1971 0.000 0.000 0.0000 3.1051
1738155042.1982 0.000 0.000 0.0000 3.1051
1738155042.2005 0.000 0.000 0.0000 3.1051
1738155042.2027 0.000 0.000 0.0000 3.1051
1738155042.2049 0.000 0.000 0.0000 3.1051
1738155042.2071 0.000 0.000 0.0000 3.1051
1738155042.2082 0.000 0.000 0.0000 3.1051
1738155042.2104 0.000 0.000 0.0000 3.1051
1738155042.2127 0.000 0.000 0.0000 3.1051
1738155042.2149 0.000 0.000 0.0000 3.1051
1738155042.2171 0.000 0.000 0.0000 3.1051
1738155042.2183 0.000 0.000 0.0000 3.1051
1738155042.2205 0.000 0.000 0.0000 3.1051
1738155042.2227 0.000 0.000 0.0000 3.1051
1738155042.2249 0.000 0.000 0.0000 3.1051
1738155042.2271 0.000 0.000 0.0000 3.1051
1738155042.2283 0.000 0.000 0.0000 3.1051
1738155042.2305 0.000 0.000 0.0000 3.1051
1738155042.2327 0.000 0.000 0.0000 3.1051
1738155042.2349 0.000 0.000 0.0000 3.1051
1738155042.2371 0.000 0.000 0.0000 3.1051
1738155042.2383 0.000 0.000 0.0000 3.1051
1738155042.2405 0.000 0.000 0.0000 3.1051
1738155042.2427 0.000 0.000 0.0000 3.1051
1738155042.2449 0.000 0.000 0.0000 3.1051
1738155042.2472 0.000 0.000 0.0000 3.1051
1738155042.2483 0.000 0.000 0.0000 3.1051
1738155042.2505 0.000 0.000 0.0000 3.1051
1738155042.2527 0.000 0.000 0.0000 3.1051
1738155042.2549 0.000 0.000 0.0000 3.1051
1738155042.2571 0.000 0.000 0.0000 3.1051
1738155042.2583 0.000 0.000 0.0000 3.1051
1738155042.2606 0.000 0.000 0.0000 3.1051
1738155042.2628 0.000 0.000 0.0000 3.1051
1738155042.2649 0.000 0.000 0.0000 3.1051
1738155042.2672 0.000 0.000 0.0000 3.1051
1738155042.2683 0.000 0.000 0.0000 3.1051
1738155042.2705 0.000 0.000 0.0000 3.1051
1738155042.2728 0.000 0.000 0.0000 3.1051
1738155042.2750 0.000 0.000 0.0000 3.1051
1738155042.2772 0.000 0.000 0.0000 3.1051
1738155042.2783 0.000 0.000 0.0000 3.1051
1738155042.2805 0.000 0.000 0.0000 3.1051
1738155042.2828 0.000 0.000 0.0000 3.1051
1738155042.2850 0.000 0.000 0.0000 3.1051
1738155042.2872 0.000 0.000 0.0000 3.1051
1738155042.2883 0.000 0.000 0.0000 3.1051
1738155042.2906 0.000 0.000 0.0000 3.1051
1738155042.2928 0.000 0.000 0.0000 3.1051
1738155042.2949 0.000 0.000 0.0000 3.1051
1738155042.2972 0.000 0.000 0.0000 3.1051
1738155042.2984 0.000 0.000 0.0000 3.1051
1738155042.3006 0.000 0.000 0.0000 3.1051
1738155042.3028 0.000 0.000 0.0000 3.1051
1738155042.3050 0.000 0.000 0.0000 3.1051
1738155042.3072 0.000 0.000 0.0000 3.1051
1738155042.3084 0.000 0.000 0.0000 3.1051
1738155042.3107 0.000 0.000 0.0000 3.1051
1738155042.3129 0.000 0.000 0.0000 3.1051
1738155042.3150 0.000 0.000 0.0000 3.1051
1738155042.3173 0.000 0.000 0.0000 3.1051
1738155042.3184 0.000 0.000 0.0000 3.1051
1738155042.3207 0.000 0.000 0.0000 3.1050
1738155042.3229 0.000 0.000 0.0000 3.1050
1738155042.3251 0.000 0.000 0.0000 3.1050
1738155042.3273 0.000 0.000 0.0000 3.1050
1738155042.3284 0.000 0.000 0.0000 3.1050
1738155042.3307 0.000 0.000 0.0000 3.1050
1738155042.3329 0.000 0.000 0.0000 3.1050
1738155042.3350 0.000 0.000 0.0000 3.1050
1738155042.3373 0.000 0.000 0.0000 3.1050
1738155042.3385 0.000 0.000 0.0000 3.1050
1738155042.3407 0.000 0.000 0.0000 3.1050
1738155042.3428 0.000 0.000 0.0000 3.1050
1738155042.3451 0.000 0.000 0.0000 3.1050
1738155042.3473 0.000 0.000 0.0000 3.1050
1738155042.3484 0.000 0.000 0.0000 3.1050
1738155042.3507 0.000 0.000 0.0000 3.1050
1738155042.3529 0.000 0.000 0.0000 3.1050
1738155042.3550 0.000 0.000 0.0000 3.1050
1738155042.3573 0.000 0.000 0.0000 3.1050
1738155042.3585 0.000 0.000 0.0000 3.1050
1738155042.3607 0.000 0.000 0.0000 3.1050
1738155042.3629 0.000 0.000 0.0000 3.1050
1738155042.3650 0.000 0.000 0.0000 3.1050
1738155042.3673 0.000 0.000 0.0000 3.1051
1738155042.3685 0.000 0.000 0.0000 3.1051
1738155042.3707 0.000 0.000 0.0000 3.1051
1738155042.3729 0.000 0.000 0.0000 3.1051
1738155042.3751 0.000 0.000 0.0000 3.1051
1738155042.3773 0.000 0.000 0.0000 3.1051
1738155042.3795 0.000 0.000 0.0000 3.1051
1738155042.3807 0.000 0.000 0.0000 3.1051
1738155042.3829 0.000 0.000 0.0000 3.1051
1738155042.3851 0.000 0.000 0.0000 3.1051
1738155042.3873 0.000 0.000 0.0000 3.1051
1738155042.3884 0.000 0.000 0.0000 3.1051
1738155042.3906 0.000 0.000 0.0000 3.1051
1738155042.3929 0.000 0.000 0.0000 3.1051
1738155042.3951 0.000 0.000 0.0000 3.1051
1738155042.3973 0.000 0.000 0.0000 3.1051
1738155042.3984 0.000 0.000 0.0000 3.1051
1738155042.4007 0.000 0.000 0.0000 3.1051
1738155042.4029 0.000 0.000 0.0000 3.1051
