% Service logfile
% 1 	Time (sec)
% 2 	Message
1738769069.1018 Setup finished OK=1
1738769199.8490 Log command: robobot/cmd/ti/log 1
1738769201.2837 Log command: robobot/cmd/ti/log 0
1738769211.4091 Log command: robobot/cmd/ti/log 1
1738769212.4896 new Master: (0) 2025-02-05 16:26:51.405734
1738769226.1227 Log command: robobot/cmd/ti/log 0
1738769071.5877 Lost Master, alive since 2025-02-05 16:26:51.405734
1738769232.5397 Log command: robobot/cmd/ti/log 1
1738769233.6880 new Master: (0) 2025-02-05 16:27:12.535047
1738769250.0640 Mixer order: robobot/cmd/ti/rc 0.0 0.0
1738769250.0689 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769250.0688574
1738769250.0786 Mixer order: robobot/cmd/ti/rc 0.250 -0.992 1738769250.078511
1738769250.0885 Mixer order: robobot/cmd/ti/rc 0.250 -0.987 1738769250.0883796
1738769250.0982 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769250.098164
1738769250.1079 Mixer order: robobot/cmd/ti/rc 0.250 -0.963 1738769250.1078608
1738769250.1185 Mixer order: robobot/cmd/ti/rc 0.250 -0.904 1738769250.1183443
1738769250.1283 Mixer order: robobot/cmd/ti/rc 0.250 -0.836 1738769250.1282504
1738769250.1383 Mixer order: robobot/cmd/ti/rc 0.250 -0.778 1738769250.138102
1738769250.1495 Mixer order: robobot/cmd/ti/rc 0.250 -0.700 1738769250.1493812
1738769250.1583 Mixer order: robobot/cmd/ti/rc 0.250 -0.604 1738769250.1582482
1738769250.1680 Mixer order: robobot/cmd/ti/rc 0.250 -0.540 1738769250.1679106
1738769250.1782 Mixer order: robobot/cmd/ti/rc 0.250 -0.436 1738769250.1779697
1738769250.1891 Mixer order: robobot/cmd/ti/rc 0.250 -0.296 1738769250.188827
1738769250.1989 Mixer order: robobot/cmd/ti/rc 0.250 -0.155 1738769250.1988091
1738769250.2086 Mixer order: robobot/cmd/ti/rc 0.250 0.005 1738769250.2085118
1738769250.2183 Mixer order: robobot/cmd/ti/rc 0.250 0.146 1738769250.2182796
1738769250.2284 Mixer order: robobot/cmd/ti/rc 0.250 0.306 1738769250.2282608
1738769250.2381 Mixer order: robobot/cmd/ti/rc 0.250 0.479 1738769250.2380416
1738769250.2480 Mixer order: robobot/cmd/ti/rc 0.250 0.635 1738769250.2479534
1738769250.2590 Mixer order: robobot/cmd/ti/rc 0.250 0.800 1738769250.2588887
1738769250.2689 Mixer order: robobot/cmd/ti/rc 0.250 0.950 1738769250.2687755
1738769250.2790 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.278898
1738769250.2887 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.2885447
1738769250.2984 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.2983065
1738769250.3085 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3083377
1738769250.3181 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3180232
1738769250.3279 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3278227
1738769250.3391 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.338934
1738769250.3486 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3484714
1738769250.3589 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.358753
1738769250.3690 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3687768
1738769250.3785 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.37842
1738769250.3886 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3884459
1738769250.3985 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.3984284
1738769250.4081 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.4079986
1738769250.4180 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.417858
1738769250.4289 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.428821
1738769250.4385 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.438496
1738769250.4486 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.4484062
1738769250.4584 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.4583755
1738769250.4684 Mixer order: robobot/cmd/ti/rc 0.250 0.995 1738769250.4682243
1738769250.4781 Mixer order: robobot/cmd/ti/rc 0.250 0.979 1738769250.477924
1738769250.4889 Mixer order: robobot/cmd/ti/rc 0.250 0.965 1738769250.4888225
1738769250.4988 Mixer order: robobot/cmd/ti/rc 0.250 0.942 1738769250.498642
1738769250.5085 Mixer order: robobot/cmd/ti/rc 0.250 0.920 1738769250.5084388
1738769250.5183 Mixer order: robobot/cmd/ti/rc 0.250 0.889 1738769250.5182884
1738769250.5283 Mixer order: robobot/cmd/ti/rc 0.250 0.861 1738769250.5280817
1738769250.5390 Mixer order: robobot/cmd/ti/rc 0.250 0.835 1738769250.5388894
1738769250.5496 Mixer order: robobot/cmd/ti/rc 0.250 0.794 1738769250.5490043
1738769250.5589 Mixer order: robobot/cmd/ti/rc 0.250 0.754 1738769250.5586362
1738769250.5686 Mixer order: robobot/cmd/ti/rc 0.250 0.727 1738769250.5684977
1738769250.5788 Mixer order: robobot/cmd/ti/rc 0.250 0.694 1738769250.5786486
1738769250.5884 Mixer order: robobot/cmd/ti/rc 0.250 0.669 1738769250.5882149
1738769250.5981 Mixer order: robobot/cmd/ti/rc 0.250 0.652 1738769250.5980158
1738769250.6082 Mixer order: robobot/cmd/ti/rc 0.250 0.627 1738769250.6080878
1738769250.6189 Mixer order: robobot/cmd/ti/rc 0.250 0.576 1738769250.6187947
1738769250.6287 Mixer order: robobot/cmd/ti/rc 0.250 0.509 1738769250.628603
1738769250.6388 Mixer order: robobot/cmd/ti/rc 0.250 0.390 1738769250.6386693
1738769250.6489 Mixer order: robobot/cmd/ti/rc 0.250 0.514 1738769250.6487887
1738769250.6588 Mixer order: robobot/cmd/ti/rc 0.250 0.626 1738769250.6586463
1738769250.6689 Mixer order: robobot/cmd/ti/rc 0.250 0.732 1738769250.6687634
1738769250.6784 Mixer order: robobot/cmd/ti/rc 0.250 0.971 1738769250.6783345
1738769250.6884 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.688302
1738769250.6993 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.6992147
