% Service logfile
% 1 	Time (sec)
% 2 	Message
1738769298.8982 Setup finished OK=1
1738938189.3093 Log command: robobot/cmd/ti/log 1
1738938190.6861 new Master: (0) 2025-02-07 15:23:09.304214
1738938239.9648 Mixer order: robobot/cmd/ti/rc 0.0 0.0
1738938239.9723 Mixer order: robobot/cmd/ti/rc 0.250 -0.172 1738938239.9721832
1738938239.9822 Mixer order: robobot/cmd/ti/rc 0.250 -0.149 1738938239.981968
1738938239.9923 Mixer order: robobot/cmd/ti/rc 0.250 -0.140 1738938239.9922042
1738938240.0020 Mixer order: robobot/cmd/ti/rc 0.250 -0.133 1738938240.0019236
1738938240.0120 Mixer order: robobot/cmd/ti/rc 0.250 -0.109 1738938240.0118356
1738938240.0216 Mixer order: robobot/cmd/ti/rc 0.250 -0.113 1738938240.021553
1738938240.0313 Mixer order: robobot/cmd/ti/rc 0.250 -0.107 1738938240.0312653
1738938240.0415 Mixer order: robobot/cmd/ti/rc 0.250 -0.108 1738938240.0413542
1738938240.0522 Mixer order: robobot/cmd/ti/rc 0.250 -0.103 1738938240.052162
1738938240.0623 Mixer order: robobot/cmd/ti/rc 0.250 0.021 1738938240.062187
1738938240.0722 Mixer order: robobot/cmd/ti/rc 0.250 -0.368 1738938240.0720494
1738938240.0818 Mixer order: robobot/cmd/ti/rc 0.250 -0.348 1738938240.0817206
1738938240.0919 Mixer order: robobot/cmd/ti/rc 0.250 -0.225 1738938240.0917456
1738938240.1016 Mixer order: robobot/cmd/ti/rc 0.250 -0.199 1738938240.1015046
1738938240.1124 Mixer order: robobot/cmd/ti/rc 0.250 -0.135 1738938240.112312
1738938240.1224 Mixer order: robobot/cmd/ti/rc 0.250 -0.099 1738938240.1222181
1738938240.1322 Mixer order: robobot/cmd/ti/rc 0.250 -0.103 1738938240.1320438
1738938240.1419 Mixer order: robobot/cmd/ti/rc 0.250 -0.072 1738938240.1418169
1738938240.1519 Mixer order: robobot/cmd/ti/rc 0.250 -0.085 1738938240.1517637
1738938240.1616 Mixer order: robobot/cmd/ti/rc 0.250 -0.053 1738938240.1615312
1738938240.1720 Mixer order: robobot/cmd/ti/rc 0.250 -0.087 1738938240.171771
1738938240.1824 Mixer order: robobot/cmd/ti/rc 0.250 -0.076 1738938240.1822736
1738938240.1920 Mixer order: robobot/cmd/ti/rc 0.250 -0.074 1738938240.1919808
1738938240.2020 Mixer order: robobot/cmd/ti/rc 0.250 -0.051 1738938240.2018206
1738938240.2117 Mixer order: robobot/cmd/ti/rc 0.250 -0.050 1738938240.2115963
1738938240.2214 Mixer order: robobot/cmd/ti/rc 0.250 -0.035 1738938240.2213442
