% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133743.4003 0 drive robobot/cmd/T0/leds 16 0 0 30
1740133743.4004 0 drive robobot/cmd/ti/rc 0.0 0.0
1740133743.4023 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4021716
1740133743.4120 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4119341
1740133743.4222 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4220564
1740133743.4329 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4328797
1740133743.4431 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4429507
1740133743.4530 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4528663
1740133743.4627 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4625878
1740133743.4727 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4726117
1740133743.4826 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.482526
1740133743.4930 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.4923024
1740133743.5029 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.5027528
1740133743.5135 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.5133255
1740133743.5227 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.5225728
1740133743.5324 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.532351
1740133743.5422 0 drive robobot/cmd/ti/rc 0.250 0.000 1740133743.542141
