% Motor voltage for all motors
% 1 	Time (sec)
% 2-3 	Voltage to motor (to Teensy) 1,2 (Volt)
% 4-5 	Voltage to motor (from Teensy) 1,2 (Volt)
% 6-7 	PWM to motor (+/- 2096) (from Teensy) 1,2
% 8 	Relax motor controller (standing still for some time)
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.7934 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.8183 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.8437 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.8683 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.8934 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.9180 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.9426 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.9684 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133742.9936 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.0180 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.0432 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.0683 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.0936 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.1177 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.1433 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.1684 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.1934 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.2177 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.2430 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.2683 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.2931 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.3187 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.3434 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.3683 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133123.5284 0.00 0.00 0.00 0.00 0 0 1
1740133743.3928 0.00 0.00 0.00 0.00 0 0 1
1740133743.4064 2.01 2.01 0.00 0.00 0 0 0
1740133743.4183 2.01 2.01 2.00 2.00 0 0 0
1740133743.4213 2.54 2.54 2.00 2.00 0 0 0
1740133743.4363 1.44 2.58 2.00 2.00 0 0 0
1740133743.4427 1.44 2.58 1.40 2.60 0 0 0
1740133743.4513 1.47 2.37 1.40 2.60 0 0 0
1740133743.4663 2.18 2.60 1.40 2.60 0 0 0
1740133743.4679 2.18 2.60 2.20 2.60 0 0 0
1740133743.4819 2.15 2.69 2.20 2.60 0 0 0
1740133743.4933 2.15 2.69 2.20 2.70 0 0 0
1740133743.4961 2.00 2.39 2.20 2.70 0 0 0
1740133743.5121 1.76 2.37 2.20 2.70 0 0 0
1740133743.5177 1.76 2.37 1.80 2.40 0 0 0
1740133743.5259 1.54 2.28 1.80 2.40 0 0 0
1740133743.5419 1.37 2.14 1.80 2.40 0 0 0
1740133743.5430 1.37 2.14 1.40 2.10 0 0 0
1740133743.5567 1.25 2.02 1.40 2.10 0 0 0
1740133743.5682 1.25 2.02 1.20 2.00 0 0 0
1740133743.5706 1.31 1.93 1.20 2.00 0 0 0
1740133743.5872 1.42 1.82 1.20 2.00 0 0 0
1740133743.5932 1.42 1.82 1.40 1.80 0 0 0
1740133743.6016 1.14 1.70 1.40 1.80 0 0 0
1740133743.6165 0.81 1.62 1.40 1.80 0 0 0
1740133743.6184 0.81 1.62 0.81 1.60 0 0 0
1740133743.6327 0.89 1.62 0.81 1.60 0 0 0
1740133743.6435 0.89 1.62 0.89 1.60 0 0 0
1740133743.6460 0.78 1.64 0.89 1.60 0 0 0
1740133743.6621 0.76 1.58 0.89 1.60 0 0 0
1740133743.6685 0.76 1.58 0.76 1.60 0 0 0
1740133743.6771 0.78 1.56 0.76 1.60 0 0 0
1740133743.6920 0.74 1.57 0.76 1.60 0 0 0
1740133743.6936 0.74 1.57 0.74 1.60 0 0 0
1740133743.7075 0.79 1.57 0.74 1.60 0 0 0
1740133743.7185 0.79 1.57 0.79 1.60 0 0 0
1740133743.7222 -0.11 2.46 0.79 1.60 0 0 0
1740133743.7367 -0.10 2.57 0.79 1.60 0 0 0
1740133743.7434 -0.10 2.57 -0.10 2.60 0 0 0
1740133743.7519 0.22 2.63 -0.10 2.60 0 0 0
1740133743.7678 0.20 2.38 0.22 2.60 0 0 0
1740133743.7676 0.20 2.38 0.22 2.60 0 0 0
1740133743.7814 0.19 2.39 0.22 2.60 0 0 0
1740133743.7929 0.19 2.39 0.19 2.40 0 0 0
1740133743.7976 0.49 2.59 0.19 2.40 0 0 0
1740133743.8120 0.32 2.34 0.19 2.40 0 0 0
1740133743.8187 0.32 2.34 0.32 2.30 0 0 0
1740133743.8271 0.38 2.35 0.32 2.30 0 0 0
1740133743.8421 0.61 2.27 0.32 2.30 0 0 0
1740133743.8437 0.61 2.27 0.61 2.30 0 0 0
1740133743.8578 0.62 2.19 0.61 2.30 0 0 0
1740133743.8687 0.62 2.19 0.62 2.20 0 0 0
1740133743.8717 0.62 2.13 0.62 2.20 0 0 0
1740133743.8871 0.69 2.11 0.62 2.20 0 0 0
