% Service logfile
% 1 	Time (sec)
% 2 	Message
1740753059.0092 Setup finished OK=1
1740756000.1257 Log command: robobot/cmd/ti/log 1
1740756000.5959 Mixer order: robobot/cmd/ti/rc 0.0 0.0
1740756000.6035 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.603264
1740756000.6142 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6141036
1740756000.6239 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6238475
1740756000.6342 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6340177
1740756000.6439 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6437953
1740756000.6540 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6537638
1740756000.6637 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6635063
1740756000.6734 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6732726
1740756000.6836 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6834497
1740756000.6938 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.6935847
1740756000.7039 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.7036917
1740756000.7138 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.713651
1740756000.7235 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.7234006
1740756000.7333 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.7332277
1740756000.7434 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.7433436
1740756000.7542 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.754174
1740756000.7644 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.764278
1740756000.7742 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.7740533
1740756000.7838 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.7837522
1740756000.7937 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.793569
1740756000.8034 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8033254
1740756000.8141 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8140655
1740756000.8241 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8238986
1740756000.8338 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8337133
1740756000.8454 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.843401
1740756000.8536 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8534336
1740756000.8633 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8632815
1740756000.8745 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.874254
1740756000.8841 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.8840046
1740756000.8939 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.893861
1740756000.9040 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.9037166
1740756000.9134 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.913349
1740756000.9236 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.92339
1740756000.9339 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.9336991
1740756000.9436 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.943512
1740756000.9536 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.953521
1740756000.9636 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756000.9635131
